timestamp,cow_id,thi
2024-08-02 00:00:00,T02,65.5
2024-08-02 00:01:00,T02,83.4
2024-08-02 00:02:00,T02,72.2
2024-08-02 00:03:00,T02,79.4
2024-08-02 00:04:00,T02,64.7
2024-08-02 00:05:00,T02,75.4
2024-08-02 00:06:00,T02,66.8
2024-08-02 00:07:00,T02,72.1
2024-08-02 00:08:00,T02,73.7
2024-08-02 00:09:00,T02,66.1
2024-08-02 00:10:00,T02,82.0
2024-08-02 00:11:00,T02,75.4
2024-08-02 00:12:00,T02,79.8
2024-08-02 00:13:00,T02,74.6
2024-08-02 00:14:00,T02,64.3
2024-08-02 00:15:00,T02,61.7
2024-08-02 00:16:00,T02,88.5
2024-08-02 00:17:00,T02,62.4
2024-08-02 00:18:00,T02,62.8
2024-08-02 00:19:00,T02,55.8
2024-08-02 00:20:00,T02,78.7
2024-08-02 00:21:00,T02,73.8
2024-08-02 00:22:00,T02,77.9
2024-08-02 00:23:00,T02,74.7
2024-08-02 00:24:00,T02,66.3
2024-08-02 00:25:00,T02,96.2
2024-08-02 00:26:00,T02,77.7
2024-08-02 00:27:00,T02,82.5
2024-08-02 00:28:00,T02,67.8
2024-08-02 00:29:00,T02,75.5
2024-08-02 00:30:00,T02,69.4
2024-08-02 00:31:00,T02,90.4
2024-08-02 00:32:00,T02,66.1
2024-08-02 00:33:00,T02,69.4
2024-08-02 00:34:00,T02,63.9
2024-08-02 00:35:00,T02,75.7
2024-08-02 00:36:00,T02,71.8
2024-08-02 00:37:00,T02,72.6
2024-08-02 00:38:00,T02,69.3
2024-08-02 00:39:00,T02,65.4
2024-08-02 00:40:00,T02,69.3
2024-08-02 00:41:00,T02,72.4
2024-08-02 00:42:00,T02,66.4
2024-08-02 00:43:00,T02,82.5
2024-08-02 00:44:00,T02,77.6
2024-08-02 00:45:00,T02,68.0
2024-08-02 00:46:00,T02,70.9
2024-08-02 00:47:00,T02,72.1
2024-08-02 00:48:00,T02,82.6
2024-08-02 00:49:00,T02,59.9
2024-08-02 00:50:00,T02,67.2
2024-08-02 00:51:00,T02,77.1
2024-08-02 00:52:00,T02,75.8
2024-08-02 00:53:00,T02,78.7
2024-08-02 00:54:00,T02,81.6
2024-08-02 00:55:00,T02,67.6
2024-08-02 00:56:00,T02,64.2
2024-08-02 00:57:00,T02,79.9
2024-08-02 00:58:00,T02,70.3
2024-08-02 00:59:00,T02,77.9
2024-08-02 01:00:00,T02,67.0
2024-08-02 01:01:00,T02,62.2
2024-08-02 01:02:00,T02,60.9
2024-08-02 01:03:00,T02,74.8
2024-08-02 01:04:00,T02,78.5
2024-08-02 01:05:00,T02,87.0
2024-08-02 01:06:00,T02,61.1
2024-08-02 01:07:00,T02,71.7
2024-08-02 01:08:00,T02,75.4
2024-08-02 01:09:00,T02,89.0
2024-08-02 01:10:00,T02,71.0
2024-08-02 01:11:00,T02,70.3
2024-08-02 01:12:00,T02,84.6
2024-08-02 01:13:00,T02,80.2
2024-08-02 01:14:00,T02,79.9
2024-08-02 01:15:00,T02,78.8
2024-08-02 01:16:00,T02,72.2
2024-08-02 01:17:00,T02,72.5
2024-08-02 01:18:00,T02,73.5
2024-08-02 01:19:00,T02,78.6
2024-08-02 01:20:00,T02,82.8
2024-08-02 01:21:00,T02,76.4
2024-08-02 01:22:00,T02,76.2
2024-08-02 01:23:00,T02,68.1
2024-08-02 01:24:00,T02,69.8
2024-08-02 01:25:00,T02,73.9
2024-08-02 01:26:00,T02,79.3
2024-08-02 01:27:00,T02,66.2
2024-08-02 01:28:00,T02,75.4
2024-08-02 01:29:00,T02,70.8
2024-08-02 01:30:00,T02,83.3
2024-08-02 01:31:00,T02,71.7
2024-08-02 01:32:00,T02,77.6
2024-08-02 01:33:00,T02,82.1
2024-08-02 01:34:00,T02,83.2
2024-08-02 01:35:00,T02,66.6
2024-08-02 01:36:00,T02,72.1
2024-08-02 01:37:00,T02,76.7
2024-08-02 01:38:00,T02,72.0
2024-08-02 01:39:00,T02,81.7
2024-08-02 01:40:00,T02,69.2
2024-08-02 01:41:00,T02,73.8
2024-08-02 01:42:00,T02,71.2
2024-08-02 01:43:00,T02,75.8
2024-08-02 01:44:00,T02,61.5
2024-08-02 01:45:00,T02,69.1
2024-08-02 01:46:00,T02,77.6
2024-08-02 01:47:00,T02,75.2
2024-08-02 01:48:00,T02,80.1
2024-08-02 01:49:00,T02,67.0
2024-08-02 01:50:00,T02,69.3
2024-08-02 01:51:00,T02,78.5
2024-08-02 01:52:00,T02,74.6
2024-08-02 01:53:00,T02,69.3
2024-08-02 01:54:00,T02,68.4
2024-08-02 01:55:00,T02,62.4
2024-08-02 01:56:00,T02,84.6
2024-08-02 01:57:00,T02,60.2
2024-08-02 01:58:00,T02,60.4
2024-08-02 01:59:00,T02,81.0
2024-08-02 02:00:00,T02,88.0
2024-08-02 02:01:00,T02,85.0
2024-08-02 02:02:00,T02,75.4
2024-08-02 02:03:00,T02,76.1
2024-08-02 02:04:00,T02,77.6
2024-08-02 02:05:00,T02,67.8
2024-08-02 02:06:00,T02,71.0
2024-08-02 02:07:00,T02,74.0
2024-08-02 02:08:00,T02,74.1
2024-08-02 02:09:00,T02,82.9
2024-08-02 02:10:00,T02,52.0
2024-08-02 02:11:00,T02,81.4
2024-08-02 02:12:00,T02,76.5
2024-08-02 02:13:00,T02,64.8
2024-08-02 02:14:00,T02,73.9
2024-08-02 02:15:00,T02,73.6
2024-08-02 02:16:00,T02,72.0
2024-08-02 02:17:00,T02,66.9
2024-08-02 02:18:00,T02,55.5
2024-08-02 02:19:00,T02,84.2
2024-08-02 02:20:00,T02,73.7
2024-08-02 02:21:00,T02,82.8
2024-08-02 02:22:00,T02,79.5
2024-08-02 02:23:00,T02,65.1
2024-08-02 02:24:00,T02,71.8
2024-08-02 02:25:00,T02,64.7
2024-08-02 02:26:00,T02,75.5
2024-08-02 02:27:00,T02,82.3
2024-08-02 02:28:00,T02,69.4
2024-08-02 02:29:00,T02,50.2
2024-08-02 02:30:00,T02,76.7
2024-08-02 02:31:00,T02,73.1
2024-08-02 02:32:00,T02,77.8
2024-08-02 02:33:00,T02,77.4
2024-08-02 02:34:00,T02,67.7
